"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1989-01","1990-01",17.983,22.641,15.72,0,0
"1989-02","1990-02",17.826,22.108,16.26,0,0
"1989-03","1990-03",19.445,20.418,16.67,0,0
"1989-04","1990-04",21.04,18.582,17.04,0,0
"1989-05","1990-05",20.032,18.237,16.97,0,0
"1989-06","1990-06",20.005,16.871,17.51,0,0
"1989-07","1990-07",19.644,18.638,17.89,0,0
"1989-08","1990-08",18.522,27.174,18.22,1,0
"1989-09","1990-09",19.594,33.687,18.69,1,0
"1989-10","1990-10",20.091,35.922,18.49,1,0
"1989-11","1990-11",19.82,32.3,18.49,1,0
"1989-12","1990-12",21.088,27.337,19.54,1,0
"1990-01","1991-01",22.641,24.959,19.84,1,0
"1990-02","1991-02",22.108,20.523,20.92,1,0
"1990-03","1991-03",20.418,19.86,20.7,1,0
"1990-04","1991-04",18.582,20.823,20.16,0,0
"1990-05","1991-05",18.237,21.24,20.17,0,0
"1990-06","1991-06",16.871,20.195,19.28,0,0
"1990-07","1991-07",18.638,21.42,21.73,0,0
"1990-08","1991-08",27.174,21.688,23.62,0,0
"1990-09","1991-09",33.687,21.857,28.62,0,0
"1990-10","1991-10",35.922,23.228,25.8,0,0
"1990-11","1991-11",32.3,22.465,23.19,0,0
"1990-12","1991-12",27.337,19.517,22.99,0,0
"1991-01","1992-01",24.959,18.82,18.72,0,0
"1991-02","1992-02",20.523,18.995,18.4,0,0
"1991-03","1992-03",19.86,18.916,19.33,0,0
"1991-04","1992-04",20.823,20.243,19.87,0,0
"1991-05","1992-05",21.24,20.94,21.16,0,0
"1991-06","1992-06",20.195,22.375,19.9,0,0
"1991-07","1992-07",21.42,21.759,20.76,0,0
"1991-08","1992-08",21.688,21.35,20.95,0,0
"1991-09","1992-09",21.857,21.902,20.82,0,0
"1991-10","1992-10",23.228,21.688,21.31,0,0
"1991-11","1992-11",22.465,20.342,20.52,0,0
"1991-12","1992-12",19.517,19.407,19.59,0,0
"1992-01","1993-01",18.82,19.075,19.19,0,0
"1992-02","1993-02",18.995,20.053,19.15,0,0
"1992-03","1993-03",18.916,20.347,19.38,0,0
"1992-04","1993-04",20.243,20.27,20.32,0,0
"1992-05","1993-05",20.94,19.94,21.15,0,0
"1992-06","1993-06",22.375,19.07,20.68,0,0
"1992-07","1993-07",21.759,17.866,20.63,0,0
"1992-08","1993-08",21.35,18.009,20.46,0,0
"1992-09","1993-09",21.902,17.514,20.72,0,0
"1992-10","1993-10",21.688,18.145,20.33,0,0
"1992-11","1993-11",20.342,16.699,19.76,0,0
"1992-12","1993-12",19.407,14.51,19.78,0,0
"1993-01","1994-01",19.075,15,20.46,0,0
"1993-02","1994-02",20.053,14.78,20.62,0,0
"1993-03","1994-03",20.347,14.66,20.6,0,0
"1993-04","1994-04",20.27,16.38,20.74,0,0
"1993-05","1994-05",19.94,17.88,20.34,0,0
"1993-06","1994-06",19.07,19.07,19.93,0,0
"1993-07","1994-07",17.866,19.65,19.04,0,0
"1993-08","1994-08",18.009,18.38,19.4,0,0
"1993-09","1994-09",17.514,17.46,19.41,0,0
"1993-10","1994-10",18.145,17.71,18.36,0,0
"1993-11","1994-11",16.699,18.1,17.34,0,0
"1993-12","1994-12",14.51,17.16,16.69,0,0
"1994-01","1995-01",15,17.99,16.48,0,0
"1994-02","1995-02",14.78,18.53,16.44,0,0
"1994-03","1995-03",14.66,18.55,16.27,0,0
"1994-04","1995-04",15.2315789473684,18.6483333333333,15.35,0,1
"1994-05","1995-05",16.188,18.3509090909091,16.3,0,1
"1994-06","1995-06",16.7631818181818,17.3127272727273,16.7,0,1
"1994-07","1995-07",17.5995238095238,15.8542857142857,17.43,0,1
"1994-08","1995-08",16.8927272727273,16.0963636363636,16.4,0,1
"1994-09","1995-09",15.895,16.6995238095238,17.19,0,1
"1994-10","1995-10",16.4904761904762,16.1109090909091,16.23,0,1
"1994-11","1995-11",17.1913636363636,16.8609090909091,16.81,0,1
"1994-12","1995-12",15.932,17.9252631578947,16.83,0,1
"1995-01","1996-01",16.5519047619048,17.8531818181818,16.56,0,1
"1995-02","1996-02",17.1145,17.9990476190476,16.5,0,1
"1995-03","1996-03",17.0065217391304,19.8519047619048,16.57,0,1
"1995-04","1996-04",18.6483333333333,20.9005,17,0,1
"1995-05","1996-05",18.3509090909091,19.1547619047619,16.81,0,1
"1995-06","1996-06",17.3127272727273,18.4565,16.11,0,1
"1995-07","1996-07",15.8542857142857,19.5708695652174,16.11,0,1
"1995-08","1996-08",16.0963636363636,20.512380952381,16.05,0,1
"1995-09","1996-09",16.6995238095238,22.6304761904762,15.58,0,1
"1995-10","1996-10",16.1109090909091,24.1626086956522,15.64,0,1
"1995-11","1996-11",16.8609090909091,22.7595238095238,15.85,0,1
"1995-12","1996-12",17.9252631578947,23.783,16.2,0,1
"1996-01","1997-01",17.8531818181818,23.537619047619,15.61,0,1
"1996-02","1997-02",17.9990476190476,20.8505263157895,15.67,0,1
"1996-03","1997-03",19.8519047619048,19.133,16.49,0,1
"1996-04","1997-04",20.9005,17.5559090909091,16.51,0,1
"1996-05","1997-05",19.1547619047619,19.0228571428571,16.14,0,1
"1996-06","1997-06",18.4565,17.58,16.5,0,1
"1996-07","1997-07",19.5708695652174,18.4645,16.66,0,1
"1996-08","1997-08",20.512380952381,18.5955,17.42,0,1
"1996-09","1997-09",22.6304761904762,18.4609523809524,18.63,0,1
"1996-10","1997-10",24.1626086956522,19.8652173913043,18.61,0,1
"1996-11","1997-11",22.7595238095238,19.1742105263158,18.71,0,1
"1996-12","1997-12",23.783,17.1819047619048,18.83,0,1
"1997-01","1998-01",23.537619047619,15.1866666666667,19.03,0,1
"1997-02","1998-02",20.8505263157895,14.0695,18.45,0,1
"1997-03","1998-03",19.133,13.1031818181818,19.19,0,1
"1997-04","1998-04",17.5559090909091,13.5265,18.6,0,1
"1997-05","1998-05",19.0228571428571,14.3631578947368,19.17,0,1
"1997-06","1998-06",17.58,12.2063636363636,18.66,0,1
"1997-07","1998-07",18.4645,12.0795652173913,18.76,0,1
"1997-08","1998-08",18.5955,11.914,18.36,0,1
"1997-09","1998-09",18.4609523809524,13.3436363636364,19.12,0,1
"1997-10","1998-10",19.8652173913043,12.7022727272727,19.11,0,1
"1997-11","1998-11",19.1742105263158,11.0390476190476,18.52,0,1
"1997-12","1998-12",17.1819047619048,9.82428571428571,17.33,0,1
"1998-01","1999-01",15.1866666666667,11.1145,17.31,0,1
"1998-02","1999-02",14.0695,10.2715789473684,16.44,0,1
"1998-03","1999-03",13.1031818181818,12.5113043478261,16.14,0,1
"1998-04","1999-04",13.5265,15.2945,16.25,0,1
"1998-05","1999-05",14.3631578947368,15.2252631578947,16.19,0,1
"1998-06","1999-06",12.2063636363636,15.8631818181818,15.91,0,1
"1998-07","1999-07",12.0795652173913,19.08,15.02,0,1
"1998-08","1999-08",11.914,20.2190476190476,14.59,0,1
"1998-09","1999-09",13.3436363636364,22.5431818181818,15.83,0,1
"1998-10","1999-10",12.7022727272727,22.002380952381,14.84,0,1
"1998-11","1999-11",11.0390476190476,24.5840909090909,13.3,0,1
"1998-12","1999-12",9.82428571428571,25.4731578947368,12.5,0,1
"1999-01","2000-01",11.1145,25.511,12.81,0,1
"1999-02","2000-02",10.2715789473684,27.7757142857143,12.28,0,1
"1999-03","2000-03",12.5113043478261,27.4860869565217,14.54,0,1
"1999-04","2000-04",15.2945,22.7644444444444,15.22,0,1
"1999-05","2000-05",15.2252631578947,27.737619047619,15.13,0,1
"1999-06","2000-06",15.8631818181818,29.7954545454545,16.78,0,1
"1999-07","2000-07",19.08,28.682380952381,17.28,0,1
"1999-08","2000-08",20.2190476190476,30.1960869565217,17.76,0,1
"1999-09","2000-09",22.5431818181818,33.1447619047619,18.7,0,1
"1999-10","2000-10",22.002380952381,30.9609090909091,18.55,0,1
"1999-11","2000-11",24.5840909090909,32.5522727272727,17.79,0,1
"1999-12","2000-12",25.4731578947368,25.66,19.26,0,1
